NO.	CORPUS.FILE	ITEM	POS	POS_BROAD	contextual_meaning	basic_meaning	METAPHOR	MUSIC_TARGET.DOMAIN	SD	CONCEPTUAL_METAPHOR_BASIS	DEICTIC_EGO	Context	comment
2444	JSCM06Vol12No1_Wissick_Colombini	it	PNP	PNP	„tremolo bowing“		no	yes					
2445	JSCM06Vol12No1_Wissick_Colombini	,	PUN	PUN			DFMA_Punct	no					
2446	JSCM06Vol12No1_Wissick_Colombini	nor	CJC	CJC	negator		no	no					
2447	JSCM06Vol12No1_Wissick_Colombini	did	VDD	VV	aux, elliptic for „employ“		MRW-implicit	yes	other				
2448	JSCM06Vol12No1_Wissick_Colombini	Gabrielli	NP0	NN0	proper name		no	no					
2449	JSCM06Vol12No1_Wissick_Colombini	,	PUN	PUN			DFMA_Punct	no					
2450	JSCM06Vol12No1_Wissick_Colombini	although	CJS	CJC	conjunction		no	no					
2451	JSCM06Vol12No1_Wissick_Colombini	northern	AJ0	AJ0			no	no					
2452	JSCM06Vol12No1_Wissick_Colombini	European	AJ0	AJ0			no	no					
2453	JSCM06Vol12No1_Wissick_Colombini	viola da gamba	NN1	NN0	MD_A family of bowed stringed instruments popular in the Renaissance.		no	yes					
2454	JSCM06Vol12No1_Wissick_Colombini	players	NN1	NN0	MM2_someone who plays a musical instrument	MM1_someone who plays a particular game or sport	no	yes					
2455	JSCM06Vol12No1_Wissick_Colombini	certainly	AV0	AV0			no	no					
2456	JSCM06Vol12No1_Wissick_Colombini	did	VDD	VV	aux, elliptic for „employ“		MRW-implicit	yes	other				
2457	JSCM06Vol12No1_Wissick_Colombini	so	AV0	AV0			no	no					
2458	JSCM06Vol12No1_Wissick_Colombini	.	SENT	PUN			DFMA_Punct	no					
2459	JSCM06Vol12No1_Wissick_Colombini	Colombi	NP0	NN0	proper name		no	no					
2460	JSCM06Vol12No1_Wissick_Colombini	indicated	VVD	VV	MM5_[TRANSITIVE] to be a sign or symbol of something	There is no more basic meaning.	no	no					
2461	JSCM06Vol12No1_Wissick_Colombini	it	PNP	PNP	tremolo bowing		no	yes					
2462	JSCM06Vol12No1_Wissick_Colombini	in	PRP	PRP	abstract	concrete	MRW-indirect	yes	container				
2463	JSCM06Vol12No1_Wissick_Colombini	his	DPS	DT0	determiner		no	no					
2464	JSCM06Vol12No1_Wissick_Colombini	Violin	NN1	NN0	instrument		no	yes					
2465	JSCM06Vol12No1_Wissick_Colombini	music	NN1	NN0			no	yes					
2466	JSCM06Vol12No1_Wissick_Colombini	with	PRP	PRP	MM3_used for saying what is used for doing something	MM1_if one person or thing is with another or does something with them, they are together or they do it together	no	no					
2467	JSCM06Vol12No1_Wissick_Colombini	the	AT0	AT0	definite article		no	no					
2468	JSCM06Vol12No1_Wissick_Colombini	word	NN1	NN0			no	no					
2469	JSCM06Vol12No1_Wissick_Colombini	tremolo	NN1	NN0	MM_a slight shaking sound in a musical note or in someone’s voice		no	yes					
2470	JSCM06Vol12No1_Wissick_Colombini	,	PUN	PUN			DFMA_Punct	no					
2471	JSCM06Vol12No1_Wissick_Colombini	while	CJS	CJC	conjunction		no	no					
2472	JSCM06Vol12No1_Wissick_Colombini	young	AJ0	AJ0			no	no					
2473	JSCM06Vol12No1_Wissick_Colombini	Antonio	NP0	NN0			no	no					
2474	JSCM06Vol12No1_Wissick_Colombini	used	VVD	VV			no	no					
2475	JSCM06Vol12No1_Wissick_Colombini	a	AT0	AT0	indef. Article		no	no					
2476	JSCM06Vol12No1_Wissick_Colombini	wavy	AJ0	AJ0	MM_a wavy line or wavy hair has a lot of waves or curls in it	There is no more basic meaning.	no	no					
2477	JSCM06Vol12No1_Wissick_Colombini	line	NN1	NN0			no	no					
2478	JSCM06Vol12No1_Wissick_Colombini	(	PUL	PUN			DFMA_Punct	no					
2479	JSCM06Vol12No1_Wissick_Colombini	Example	NN1	NN0			no	no					
2480	JSCM06Vol12No1_Wissick_Colombini	39	CRD	CRD	number		no	no					
2481	JSCM06Vol12No1_Wissick_Colombini	,	PUN	PUN			DFMA_Punct	no					
2482	JSCM06Vol12No1_Wissick_Colombini	Example	NN1	NN0			no	no					
2483	JSCM06Vol12No1_Wissick_Colombini	40	CRD	CRD	number		no	no					
2484	JSCM06Vol12No1_Wissick_Colombini	)	PUR	PUN			DFMA_Punct	no					
2485	JSCM06Vol12No1_Wissick_Colombini	.	SENT	PUN			DFMA_Punct	no					
2486	JSCM06Vol12No1_Wissick_Colombini	Gregory	NP0	NN0	proper name		no	no					
2487	JSCM06Vol12No1_Wissick_Colombini	Barnett	NP0	NN0	proper name		no	no					
2488	JSCM06Vol12No1_Wissick_Colombini	observes	VVZ	VV	MM3_FORMAL to make a written or spoken comment about someone or something, MM1_FORMAL to notice someone doing something, or to notice something happening		no	no					
2489	JSCM06Vol12No1_Wissick_Colombini	that	CJT	CJC	conjunction		no	no					
2490	JSCM06Vol12No1_Wissick_Colombini	these	DT0	DT0	abstract	concrete	MRW-indirect	no					
2491	JSCM06Vol12No1_Wissick_Colombini	Bononcini	NP0	NN0	proper name		no	no					
2492	JSCM06Vol12No1_Wissick_Colombini	pieces	NN2	NN0	MM3_a written, musical, or artistic work that someone has produced	MM1_an individual object of a particular type	MRW-indirect	yes	physical structure				
2493	JSCM06Vol12No1_Wissick_Colombini	might	VM0	VV	aux		no	no					
2494	JSCM06Vol12No1_Wissick_Colombini	be	VBI	VV	aux		no	no					
2495	JSCM06Vol12No1_Wissick_Colombini	considered	VVN	VV			no	no					
2496	JSCM06Vol12No1_Wissick_Colombini	a	AT0	AT0	indef. Article		no	no					
2497	JSCM06Vol12No1_Wissick_Colombini	record	NN1	NN0	MM1_[COUNTABLE] information kept about something that has happened	I think there is no more basic meaning.	no	no					
2498	JSCM06Vol12No1_Wissick_Colombini	of	PRF	PRP			no	no					
2499	JSCM06Vol12No1_Wissick_Colombini	late	AJ0	AJ0	MM2_[ONLY BEFORE NOUN] near the end of a period of time such as a day, month, or season	MM1_[NOT USUALLY BEFORE NOUN] if you are late, you arrive somewhere after the correct or usual time	no	no					
2500	JSCM06Vol12No1_Wissick_Colombini	seventeenth	ORD	ORD	MM1_in the place or position counted as number 17		no	no					
2501	JSCM06Vol12No1_Wissick_Colombini	century	AJ0	AJ0	MM1_[COUNTABLE] a period of 100 years, usually counted from a year ending in –00. For example, the 20th century is the period from 1900 to 1999	There is no more basic meaning.	no	no					
2502	JSCM06Vol12No1_Wissick_Colombini	improvisation	NN1	NN0	MM1_[COUNTABLE/UNCOUNTABLE] a performance of a play or a piece of music in which the performer invents words or musical notes that they have not learned or prepared before	MM2_[UNCOUNTABLE] things that you do or make using only what is available at the time, instead of what is most suitable	no	yes					
2503	JSCM06Vol12No1_Wissick_Colombini	by	PRP	PRP	who or what does something	There is no more basic meaning.	no	no					
2504	JSCM06Vol12No1_Wissick_Colombini	a	AT0	AT0	indef. Article		no	no					
2505	JSCM06Vol12No1_Wissick_Colombini	cellist	NN1	NN0	MM_someone who plays the cello	There is no more basic meaning.	no	yes					
2506	JSCM06Vol12No1_Wissick_Colombini	this	DT0	DT0	abstract	concrete	MRW-indirect	no					
2507	JSCM06Vol12No1_Wissick_Colombini	statement	NN1	NN0	MM2_[COUNTABLE] something that you say or write that states a fact or gives information in a formal way		no	no					
2508	JSCM06Vol12No1_Wissick_Colombini	is	VBZ	VV	identification		no	no					
2509	JSCM06Vol12No1_Wissick_Colombini	convincing	AJ0	AJ0	MM1_something that is convincing makes you believe that it is true or persuades you to do something		no	no					
2510	JSCM06Vol12No1_Wissick_Colombini	,	PUN	PUN			DFMA_Punct	no					
2511	JSCM06Vol12No1_Wissick_Colombini	given	VVN	VV	MM5_[TRANSITIVE] to show or communicate information	MM1_[TRANSITIVE] to put something in someone’s hand, or to pass something to someone	no	no					
2512	JSCM06Vol12No1_Wissick_Colombini	their	DPS	DT0	determiner		no	no					
2513	JSCM06Vol12No1_Wissick_Colombini	lack	NN1	NN0	LM_when there is not enough of something, or none of it	There is no more basic meaning.	no	no					
2514	JSCM06Vol12No1_Wissick_Colombini	of	PRF	PRP			no	no					
2515	JSCM06Vol12No1_Wissick_Colombini	counterpoint	NN1	NN0	LM1_[uncountable] the combination of two or more tunes played together so that they sound like one tune	LM3_[uncountable and countable] when two things that are different are compared in an interesting or pleasant way	no	yes					
2516	JSCM06Vol12No1_Wissick_Colombini	and	CJC	CJC	conjunction		no	no					
2517	JSCM06Vol12No1_Wissick_Colombini	frequent	AJ0	AJ0	MM_happening often	There is no more basic meaning.	no	no					
2518	JSCM06Vol12No1_Wissick_Colombini	repeated	AJ0	AJ0	MM_done many times	There is no more basic meaning.	no	yes					
2519	JSCM06Vol12No1_Wissick_Colombini	patterns	NN2	NN0	MM2a_a set of sounds that are repeated regularly, for example in a poem	MM2_a set of lines, shapes, or colours that are repeated regularly	MRW-indirect	yes	synaesthetic				
2520	JSCM06Vol12No1_Wissick_Colombini	over	PRP	PRP	musical space	concrete	MRW-indirect	yes	space			This statement is convincing, given their lack of counterpoint and frequent repeated patterns over drones	
2521	JSCM06Vol12No1_Wissick_Colombini	drones	NN2	NN0	MD1_Any note performed throughout a composition as a sustaining bass note. Drones are common in folk music and in Medieval music.	MD2_The largest of the three pipes in a bagpipe which sounds one deep note acting as a perpetual base to every tune.; MM2_ a type of male bee that does not do any work	no	yes					
2522	JSCM06Vol12No1_Wissick_Colombini	.	SENT	PUN			DFMA_Punct	no					
2523	JSCM06Vol12No1_Wissick_Colombini	The	AT0	AT0	definite article		no	no					
2524	JSCM06Vol12No1_Wissick_Colombini	whole	AJ0	AJ0	MM3_used for emphasizing what you are saying, MM1_all of sth	MM2_not divided or broken	MRW-indirect	no					
2525	JSCM06Vol12No1_Wissick_Colombini	question	NN1	NN0			no	no					
2526	JSCM06Vol12No1_Wissick_Colombini	of	PRF	PRP			no	no					
2527	JSCM06Vol12No1_Wissick_Colombini	technical	AJ0	AJ0	MM4_relating to the skills needed to do a particular activity, especially in sport or art	?MM3_[ONLY BEFORE NOUN] relating to the way in which a machine or system works	no	yes					
2528	JSCM06Vol12No1_Wissick_Colombini	comfort	NN1	NN0	MM1_[UNCOUNTABLE] a physically relaxed state, without any pain or other unpleasant feelings	There is no more basic meaning.	no	yes					
2529	JSCM06Vol12No1_Wissick_Colombini	and	CJC	CJC	conjunction		no	no					
2530	JSCM06Vol12No1_Wissick_Colombini	quick	AJ0	AJ0	MM2_done or happening in a short time	MM1_able to move fast or do something fast	no	yes					
2531	JSCM06Vol12No1_Wissick_Colombini	access	NN1	NN0	MM1_the right or opportunity to have or use something that will bring you benefits	MM2_the means by which you get to a place	MRW-indirect	yes	other				
2532	JSCM06Vol12No1_Wissick_Colombini	to	PRP	PRP	abstract	concrete	MRW-indirect	yes	other				
2533	JSCM06Vol12No1_Wissick_Colombini	familiar	AJ0	AJ0	MM1_well known to you, or easily recognized by you		no	yes					
2534	JSCM06Vol12No1_Wissick_Colombini	fingering	VVG	VV	MM_the positions of your fingers and the way that you move them when you are playing a musical instrument		no	yes					
2535	JSCM06Vol12No1_Wissick_Colombini	patterns	NN2	NN0	MM1_a series of actions or events that together show how things normally happen or are done	MM2_a set of lines, shapes, or colours that are repeated regularly	MRW-indirect	yes	synaesthetic				
2536	JSCM06Vol12No1_Wissick_Colombini	becomes	VVZ	VV	similar to be, copula		no	no					
2537	JSCM06Vol12No1_Wissick_Colombini	of	PRF	PRP			no	no					
2538	JSCM06Vol12No1_Wissick_Colombini	primary	AJ0	AJ0	MM1_most important	MM3_coming or happening before other things	no	no					
2539	JSCM06Vol12No1_Wissick_Colombini	importance	NN1	NN0	MM_the fact of being important, or the degree to which something or someone is important		no	no					
2540	JSCM06Vol12No1_Wissick_Colombini	.	SENT	PUN			DFMA_Punct	no					
2541	JSCM06Vol12No1_Wissick_Colombini	Even	AV0	AV0			no	no					
2542	JSCM06Vol12No1_Wissick_Colombini	The	AT0	AT0			no	no					
2543	JSCM06Vol12No1_Wissick_Colombini	most	AV0	AV0			no	no					
2544	JSCM06Vol12No1_Wissick_Colombini	creative	AJ0	AJ0	MM1_involving a lot of imagination and new ideas	There is no more basic meaning.	no	no					
2545	JSCM06Vol12No1_Wissick_Colombini	improviser	NN1	NN0	Noun is not in the dicts; MM1a_[INTRANSITIVE/TRANSITIVE] if a performer in a play or a group of musicians improvises, they invent words or musical notes without preparing them or learning them before	There is no more basic meaning.	no	yes					
2546	JSCM06Vol12No1_Wissick_Colombini	relies	VVZ	VV	LM1_ to trust or depend on someone or something to do what you need or	There is no more basic meaning.	no	no					
2547	JSCM06Vol12No1_Wissick_Colombini	on	PRP	PRP			MRW-indirect	no					
2548	JSCM06Vol12No1_Wissick_Colombini	a	AT0	AT0			no	no					
2549	JSCM06Vol12No1_Wissick_Colombini	grab bag	NN1	NN0	LM2_[singular] a mixture of different things or styles. grab bag of. The treaty covers a grab bag of issues.	LM1_[countable] a container filled with small presents that you put your hand in to pick one out [= lucky dip British English]	MRW-indirect	no					
2550	JSCM06Vol12No1_Wissick_Colombini	of	PRF	PRP			no	no					
2551	JSCM06Vol12No1_Wissick_Colombini	tricks	NN2	NN0	MM4_an effective and skilful way of doing something; but also an illusion	MM2_a way of entertaining people by doing something that looks like magic; MM1_ an unfair or unpleasant thing that you do in order to harm someone or to get an advantage for yourself	no	no					
2552	JSCM06Vol12No1_Wissick_Colombini	,	PUN	PUN			DFMA_Punct	no					
2553	JSCM06Vol12No1_Wissick_Colombini	things	NN2	NN0	MM2_[COUNTABLE] an action, or an activity	MM1_[COUNTABLE] an object, or an item. This word is used when you cannot or do not want to refer to the object or item in a more specific way	MRW-indirect	no					
2554	JSCM06Vol12No1_Wissick_Colombini	that	CJT	CJC			no	no					
2555	JSCM06Vol12No1_Wissick_Colombini	fall	VVB	VV			MRW-indirect	yes	other			Even the most creative improviser relies on a grab bag of tricks, things that fall under the hand in various keys 	
2556	JSCM06Vol12No1_Wissick_Colombini	under	PRP	PRP			MRW-indirect	yes	other				
2557	JSCM06Vol12No1_Wissick_Colombini	The	AT0	AT0			no	no					
2558	JSCM06Vol12No1_Wissick_Colombini	hand	NN1	NN0			no	no					
2559	JSCM06Vol12No1_Wissick_Colombini	in	PRP	PRP			MRW-indirect	yes	container				
2560	JSCM06Vol12No1_Wissick_Colombini	various	AJ0	AJ0			no	no					
2561	JSCM06Vol12No1_Wissick_Colombini	keys	NN2	NN0			MRW-indirect	yes	other				
2562	JSCM06Vol12No1_Wissick_Colombini	(	PUL	PUN			DFMA_Punct	no					
2563	JSCM06Vol12No1_Wissick_Colombini	Example	NN1	NN0			no	no					
2564	JSCM06Vol12No1_Wissick_Colombini	41	CRD	CRD			no	no					
2565	JSCM06Vol12No1_Wissick_Colombini	,	PUN	PUN			DFMA_Punct	no					
2566	JSCM06Vol12No1_Wissick_Colombini	Video	NN1	NN0			no	no					
2567	JSCM06Vol12No1_Wissick_Colombini	18	CRD	CRD			no	no					
2568	JSCM06Vol12No1_Wissick_Colombini	)	PUR	PUN			DFMA_Punct	no					
2569	JSCM06Vol12No1_Wissick_Colombini	.	SENT	PUN			DFMA_Punct	no					
2570	MA09-28.1_39_TR	The	AT0	AT0	definite article		no	no					
2571	MA09-28.1_39_TR	extent	NN1	NN0	MM2_[SINGULAR/UNCOUNTABLE] the degree to which something happens or is likely to happen	MM3_[UNCOUNTABLE] the size or area of something	MRW-indirect	no					
2572	MA09-28.1_39_TR	to	PRP	PRP	abstract	concrete	MRW-indirect	no					
2573	MA09-28.1_39_TR	which	DTQ	DT0	refers to extent?		no	no					
2574	MA09-28.1_39_TR	this	DT0	DT0	abstract	concrete	MRW-indirect	no					
2575	MA09-28.1_39_TR	motive	NN1	NN0	MD“motive“_see „motif“;  MM“motive“_the reason that you do something; MM2a_MUSIC an arrangement of notes that is repeated regularly in a piece of music	MM1“motif“_a shape or pattern that is repeated in a design or decoration	MRW-indirect	yes	synaesthetic			The extent to which this motive saturates The thematic material	
2576	MA09-28.1_39_TR	saturates	VVZ	VV	MM2_to fill something completely with a large number of things or with a large amount of something	MM1_to make something completely wet, MM2a_to fill a place with people	MRW-indirect	yes	container			The extent to which this motive saturates The thematic material	
2577	MA09-28.1_39_TR	The	AT0	AT0	definite article		no	no					
2578	MA09-28.1_39_TR	thematic	AJ0	AJ0	MM_relating to ideas or subjects	There is no more basic meaning.	no	yes					
2579	MA09-28.1_39_TR	material	NN1	NN0	MM3_[UNCOUNTABLE] information, ideas, and experiences that you use as the subject of a book, film, song etc	MM1_[COUNTABLE/UNCOUNTABLE] cloth	MRW-indirect	yes	physical structure			The extent to which this motive saturates The thematic material	
2580	MA09-28.1_39_TR	is	VBZ	VV	identification		no	no					
2581	MA09-28.1_39_TR	indicative	AJ0	AJ0	MM_showing that something will happen, is true, or exists		no	no					
2582	MA09-28.1_39_TR	of	PRF	PRP			no	no					
2583	MA09-28.1_39_TR	its	DPS	DT0	determiner		no	no					
2584	MA09-28.1_39_TR	structural	AJ0	AJ0	MM2_related to the way that something such as an institution or economy is organized	MM1_related to the structure of something such as a building	MRW-indirect	yes	physical structure			is indicative of its structural role	
2585	MA09-28.1_39_TR	role	NN1	NN0	MM1_the purpose or influence of someone or something in a particular situation	MM2_the character played by a particular actor in a film, play etc	MRW-indirect	yes	other			is indicative of its structural role	
2586	MA09-28.1_39_TR	.	SENT	PUN			DFMA_Punct	no					
2587	MA09-28.1_39_TR	The	AT0	AT0	definite article		no	no					
2588	MA09-28.1_39_TR	P	ZZ0	ZZ0	part of musical piece	letter	no	no					
2589	MA09-28.1_39_TR	theme	NN1	NN0	MM2_theme or theme music/song/tune MUSIC a short piece of music that is played at the beginning and end of a radio or television programme or a film	MM1_the main subject of something such as a book, speech, art exhibition, or discussion	WIDLII	yes	language				
2590	MA09-28.1_39_TR	,	PUN	PUN			DFMA_Punct	no					
2591	MA09-28.1_39_TR	for instance	AV0	AV0	for example	There is no more basic meaning.	no	no					
2592	MA09-28.1_39_TR	,	PUN	PUN			DFMA_Punct	no					
2593	MA09-28.1_39_TR	is	VBZ	VV	identification		no	no					
2594	MA09-28.1_39_TR	made up	VVN/AVP	VV	MM4_[TRANSITIVE] to prepare or arrange something	MM8_[TRANSITIVE] to produce something from cloth	MRW-indirect	yes	physical structure				
2595	MA09-28.1_39_TR	of	PRF	PRP			no	no					
2596	MA09-28.1_39_TR	a	AT0	AT0	indef. Article		no	no					
2597	MA09-28.1_39_TR	combination	NN1	NN0	MM1_[COUNTABLE] something that combines several things		no	yes					
2598	MA09-28.1_39_TR	of	PRF	PRP			no	no					
2599	MA09-28.1_39_TR	motivic	AJ0	AJ0			MRW-indirect	yes	synaesthetic				
2600	MA09-28.1_39_TR	fragments	NN2	NN0	MM2_a small part of something larger	MM1_a small piece of a larger object that has broken, often into a lot of pieces	MRW-indirect	yes	physical structure				
2601	MA09-28.1_39_TR	from	PRP	PRP	MM2c_used for stating what something was originally a part of, ex. the music from Offenbach’s opera	MM4_used for stating where someone or something is removed from	MRW-indirect	yes	source			The P theme, for instance, is made up of a combination of motivic fragments from the introduction	
2602	MA09-28.1_39_TR	the	AT0	AT0	definite article		no	no					
2603	MA09-28.1_39_TR	introduction	NN1	NN0	MM3_[COUNTABLE] the part at the beginning of a book, report etc that gives a general idea of what it is about	MM1_[COUNTABLE] the process of telling someone another person’s name when they meet for the first time	no	yes					
2604	MA09-28.1_39_TR	namely	AV0	AV0	MM_used for introducing more detailed information about a subject that you are discussing	There is no more basic meaning.	no	no					
2605	MA09-28.1_39_TR	motive	NN1	NN0	MD“motive“_see „motif“;  MM“motive“_the reason that you do something; MM2a_MUSIC an arrangement of notes that is repeated regularly in a piece of music	MM1“motif“_a shape or pattern that is repeated in a design or decoration	MRW-indirect	yes	synaesthetic				
2606	MA09-28.1_39_TR	x	ZZ0	ZZ0	part of musical piece	letter	no	no					
2607	MA09-28.1_39_TR	,	PUN	PUN			DFMA_Punct	no					
2608	MA09-28.1_39_TR	which	DTQ	DT0	relative pronoun, refers to „motive x“		no	no					
2609	MA09-28.1_39_TR	forms	VVZ	VV	copular verb		no	yes					
2610	MA09-28.1_39_TR	the	AT0	AT0	definite article		no	no					
2611	MA09-28.1_39_TR	chromatic	AJ0	AJ0	MM1_MUSIC relating to a musical scale that uses semitones (=notes that are next to each other on a piano)	MM2_SCIENCE relating to colour	WIDLII	yes	synaesthetic				
2612	MA09-28.1_39_TR	dyads	NN2	NN0	not in any of dicts, OED: The number two; a group of two; a couple		no	yes					
2613	MA09-28.1_39_TR	of	PRF	PRP			no	no					
2614	MA09-28.1_39_TR	the	AT0	AT0	definite article		no	no					
2615	MA09-28.1_39_TR	descending	AJ0	AJ0	musical meaning is not in dicts; succesion of pitches where each pitch is lower than its predecessor	MM1_[INTRANSITIVE/TRANSITIVE] FORMAL to go down a mountain or slope, or to go down some stairs	MRW-indirect	yes	motion	fictive motion	neutral	the chromatic dyads of the descending ‘sigh’ motive	no change / resultant state, so not ESM; time does not move up or down
2616	MA09-28.1_39_TR	sigh	NN1	NN0	"MD_An ornament consisting of the main tone followed by the tone above it followed by the tone above that, then returning to the original main tone. The springer has also been called the ""acute"" and the ""sigh"", and is similar to one form of the Nachschlag This ornament was used in 17th century England.; Wiki: Das „Seufzermotiv“ ist ein Sekundschritt abwärts oder aufwärts, bei welchem der erste Ton stark akzentuiert ist und die folgende Note angebunden, unbetont und leiser gespielt wird. "	MM_a slow breath out that makes a long soft sound, especially because you are disappointed, tired, annoyed, or relaxed	MRW-indirect	yes	HUMAN			chromatic dyads of the descending ‘sigh’ motive	
2617	MA09-28.1_39_TR	motive	NN1	NN0	MD“motive“_see „motif“;  MM“motive“_the reason that you do something; MM2a_MUSIC an arrangement of notes that is repeated regularly in a piece of music	MM1“motif“_a shape or pattern that is repeated in a design or decoration	MRW-indirect	yes	synaesthetic				
2618	MA09-28.1_39_TR	,	PUN	PUN			DFMA_Punct	no					
2619	MA09-28.1_39_TR	and	CJC	CJC	conjunction		no	no					
2620	MA09-28.1_39_TR	the	AT0	AT0	definite article		no	no					
2621	MA09-28.1_39_TR	pairs	NN2	NN0	MM1_two things of the same type that belong together		no	yes					
2622	MA09-28.1_39_TR	of	PRF	PRP			no	no					
2623	MA09-28.1_39_TR	consecutive	AJ0	AJ0	MM_following one after another in order and with nothing else in between	There is no more basic meaning.	no	yes					
2624	MA09-28.1_39_TR	triplets	NN2	NN0	MD_Three notes of equal length that are to be performed in the duration of two notes of equal length.	?/no: MM_a baby that is born at the same time as two other babies to the same mother. Two babies born together are twins and four babies born together are quadruplets.	no	yes					
2625	MA09-28.1_39_TR	,	PUN	PUN			DFMA_Punct	no					
2626	MA09-28.1_39_TR	introduced	VVN	VV	MM2_to bring something into existence or use for the first time	MM1_to tell someone another person’s name when they meet for the first time	no	yes					
2627	MA09-28.1_39_TR	in	PRP	PRP	abstract	concrete	MRW-indirect	yes	container				
2628	MA09-28.1_39_TR	bars	NN2	NN0	MM4_MUSIC one of the sections in a line of music. Each bar contains several notes.	MM2_a long narrow piece of metal	MRW-indirect	yes	other				
2629	MA09-28.1_39_TR	15	CRD	CRD	number		no	no					
2630	MA09-28.1_39_TR	and	CJC	CJC	conjunction		no	no					
2631	MA09-28.1_39_TR	18	CRD	CRD	number		no	no					
2632	MA09-28.1_39_TR	.	SENT	PUN			DFMA_Punct	no					
2633	MA09-28.1_39_TR	The	AT0	AT0	definite article		no	no					
2634	MA09-28.1_39_TR	descending	AJ0	AJ0	musical meaning is not in dicts; succesion of pitches where each pitch is lower than its predecessor	MM1_[INTRANSITIVE/TRANSITIVE] FORMAL to go down a mountain or slope, or to go down some stairs	MRW-indirect	yes	motion	fictive motion	neutral	the descending chromatic tetrachord	no change / resultant state, so not ESM; time does not move up or down
2635	MA09-28.1_39_TR	chromatic	AJ0	AJ0	MM1_MUSIC relating to a musical scale that uses semitones (=notes that are next to each other on a piano)	MM2_SCIENCE relating to colour	WIDLII	yes	synaesthetic				
2636	MA09-28.1_39_TR	tetrachord	NN1	NN0	MD_The perfect fourth and the set of four diatonic, chromatic, or enharmonic notes encased therein.	There is no more basic meaning.	no	yes					
2637	MA09-28.1_39_TR	recurs	VVZ	VV	MM_to happen again	There is no more basic meaning.	no	yes					
2638	MA09-28.1_39_TR	at	PRP	PRP	musical space	concrete space	MRW-indirect	yes	space			The descending chromatic tetrachord recurs at bars 37–40, where it is outlined in full by the first note of each bar of TR (see again Ex. 3).	
2639	MA09-28.1_39_TR	bars	NN2	NN0	MM4_MUSIC one of the sections in a line of music. Each bar contains several notes.	MM2_a long narrow piece of metal	MRW-indirect	yes	other			recurs at bars 37–40, where it is outlined in full by the first note of each bar of TR (see again Ex. 3). 	
2640	MA09-28.1_39_TR	37-40	CRD	CRD	numbers		no	no					
2641	MA09-28.1_39_TR	,	PUN	PUN			DFMA_Punct	no					
2642	MA09-28.1_39_TR	where	CJS	CJC	musical space	concrete space	MRW-indirect	yes	space			The descending chromatic tetrachord recurs at bars 37–40, where it is outlined in full by the first note of each bar of TR (see again Ex. 3).	
2643	MA09-28.1_39_TR	it	PNP	PNP	„tetrachord“		no	yes					
2644	MA09-28.1_39_TR	is	VBZ	VV	aux passive		no	no					
2645	MA09-28.1_39_TR	outlined	VVN	VV	LM1_to describe something in a general way, giving the main points but not the details:	LM2_[usually passive] to show the edge of something, or draw around its edge, so that its shape is clear:	MRW-indirect	yes	synaesthetic				
2646	MA09-28.1_39_TR	in full	AV0	AV0	MM_completely, including the whole of something	There is no more basic meaning.	no	no					
2647	MA09-28.1_39_TR	by	PRP	PRP			no	no					
2648	MA09-28.1_39_TR	The	AT0	AT0	definite article		no	no					
2649	MA09-28.1_39_TR	first	ORD	ORD			no	no					
2650	MA09-28.1_39_TR	note	NN1	NN0	MM4_MUSIC an individual sound in music. A group of notes played together is called a chord and a series of notes that form a separate set is called a scale	MM1_a short letter to someone	no	yes					
2651	MA09-28.1_39_TR	of	PRF	PRP			no	no					
2652	MA09-28.1_39_TR	each	DT0	DT0	MM_used for referring to all the people or things in a group, especially when considering every one separately	There is no more basic meaning.	no	no					
2653	MA09-28.1_39_TR	bar	NN1	NN0	MM4_MUSIC one of the sections in a line of music. Each bar contains several notes.	MM2_a long narrow piece of metal	MRW-indirect	yes	other				
2654	MA09-28.1_39_TR	of	PRF	PRP			no	no					
2655	MA09-28.1_39_TR	TR	NN1	NN0	TR stands for transition, label for a part of the music; MD“transition“_Passing out of one key into another; also, a passage that takes the composition from one key into another.	letters; MM_ the process of changing from one situation, form, or state to another	no	yes					
2656	MA09-28.1_39_TR	(	PUL	PUN			DFMA_Punct	no					
2657	MA09-28.1_39_TR	see	VVB	VV			no	no					
2658	MA09-28.1_39_TR	again	AV0	AV0			no	no					
2659	MA09-28.1_39_TR	Ex	NN1	NN0			no	no					
2660	MA09-28.1_39_TR	3	CRD	CRD			no	no					
2661	MA09-28.1_39_TR	)	PUR	PUN			DFMA_Punct	no					
2662	MA09-28.1_39_TR	.	SENT	PUN			DFMA_Punct	no					
2663	MA09-28.1_39_TR	The	AT0	AT0	definite article		no	no					
2664	MA09-28.1_39_TR	new	AJ0	AJ0			no	no					
2665	MA09-28.1_39_TR	thematic	AJ0	AJ0	MM_relating to ideas or subjects	There is no more basic meaning.	no	yes					
2666	MA09-28.1_39_TR	material	NN1	NN0	MM3_[UNCOUNTABLE] information, ideas, and experiences that you use as the subject of a book, film, song etc	MM1_[COUNTABLE/UNCOUNTABLE] cloth	MRW-indirect	yes	physical structure				
2667	MA09-28.1_39_TR	at	PRP	PRP	musical space	concrete	MRW-indirect	yes	space			The new thematic material at bar 42,	
2668	MA09-28.1_39_TR	bar	NN1	NN0			MRW-indirect	yes	other				
2669	MA09-28.1_39_TR	42	CRD	CRD	number		no	no					
